,Title,Author,Link,Bookshelf
422,Wagner : The Story of the Boy Who Wrote Little Plays,Thomas Tapper,http://www.gutenberg.org/ebooks/35128,Child's
423,Mozart : The story of a little boy and his sister who gave concerts,Tapper,http://www.gutenberg.org/ebooks/34582,Child's
424,Handel : The Story of a Little Boy who Practiced in an Attic,Thomas Tapper,http://www.gutenberg.org/ebooks/35157,Child's
425,Chopin : The Story of the Boy Who Made Beautiful Melodies,Thomas Tapper,http://www.gutenberg.org/ebooks/35013,Child's
426,Franz Joseph Haydn : The Story of the Choir Boy who became a Great Composer,,http://www.gutenberg.org/ebooks/34550,Child's
427,Robt. Schumann : The Story of the Boy Who Made Pictures in Music,Thomas Tapper,http://www.gutenberg.org/ebooks/35596,Child's
428,Franz Schubert : The Story of the Boy Who Wrote Beautiful Songs,Thomas Tapper,http://www.gutenberg.org/ebooks/35070,Child's
429,Franz Liszt : The Story of a Boy Who Became a Great Pianist and Teacher,Tapper,http://www.gutenberg.org/ebooks/35601,Child's
430,Verdi : The Story of the Little Boy who Loved the Hand Organ,Thomas Tapper,http://www.gutenberg.org/ebooks/35158,Child's
431,Edvard Grieg : The Story of the Boy Who Made Music in the Land of the Midnight,,http://www.gutenberg.org/ebooks/35097,Child's
432,The Wonder Book of Bible Stories,Logan Marshall,http://www.gutenberg.org/ebooks/16042,Children's
433,The Children's Bible,Charles Foster Kent and Henry A. Sherman,http://www.gutenberg.org/ebooks/23580,Children's
434,Mother Stories from the Old Testament,Anonymous,http://www.gutenberg.org/ebooks/17162,Children's
435,The Children's Six Minutes,Bruce S. Wright,http://www.gutenberg.org/ebooks/14411,Children's
436,Mother Stories from the New Testament,Anonymous,http://www.gutenberg.org/ebooks/17163,Children's
437,Wee Ones' Bible Stories,Anonymous,http://www.gutenberg.org/ebooks/11241,Children's
438,Bible Stories and Religious Classics,Philip P. Wells,http://www.gutenberg.org/ebooks/10380,Children's
439,A Young Folks' History of the Church of Jesus Christ of Latter-day Saints,,http://www.gutenberg.org/ebooks/16534,Children's
440,Children's Edition of Touching Incidents and Remarkable Answers to Prayer,Shaw,http://www.gutenberg.org/ebooks/7026,Children's
441,A Little Catechism; With Little Verses and Little Sayings for Little Children,,http://www.gutenberg.org/ebooks/13274,Children's
442,Fifty Famous People: A Book of Short Stories,James Baldwin,http://www.gutenberg.org/ebooks/6168,Children's
443,The Story of Young Abraham Lincoln,Wayne Whipple,http://www.gutenberg.org/ebooks/22925,Children's
444,Stories of Great Inventors,Hattie E. Macomber,http://www.gutenberg.org/ebooks/19533,Children's
445,Ten Boys from History,Kate Dickinson Sweetser,http://www.gutenberg.org/ebooks/23650,Children's
446,American Boy's Life of Theodore Roosevelt,Edward Stratemeyer,http://www.gutenberg.org/ebooks/22352,Children's
447,Dewey and Other Naval Commanders,Edward Sylvester Ellis,http://www.gutenberg.org/ebooks/17253,Children's
448,"Notable Voyagers, From Columbus to Nordenskiold",Frith and Kingston,http://www.gutenberg.org/ebooks/23494,Children's
449,Daniel Boone,Katharine Elliott Wilkie,http://www.gutenberg.org/ebooks/24730,Children's
550,A Christmas Carol in Prose; Being a Ghost Story of Christmas,Charles Dickens,http://www.gutenberg.org/ebooks/46,Children's
551,Alice's Adventures in Wonderland,Lewis Carroll,http://www.gutenberg.org/ebooks/11,Children's
552,Little Women,Louisa May Alcott,http://www.gutenberg.org/ebooks/514,Children's
553,Peter Pan,J. M. Barrie,http://www.gutenberg.org/ebooks/16,Children's
554,Treasure Island,Robert Louis Stevenson,http://www.gutenberg.org/ebooks/120,Children's
555,The Wonderful Wizard of Oz,L. Frank Baum,http://www.gutenberg.org/ebooks/55,Children's
556,Anne of Green Gables,L. M. Montgomery,http://www.gutenberg.org/ebooks/45,Children's
557,"The Happy Prince, and Other Tales",Oscar Wilde,http://www.gutenberg.org/ebooks/902,Children's
558,A Christmas Carol,Charles Dickens,http://www.gutenberg.org/ebooks/19337,Children's
559,The Secret Garden,Frances Hodgson Burnett,http://www.gutenberg.org/ebooks/113,Children's
560,The Jungle Book,Rudyard Kipling,http://www.gutenberg.org/ebooks/236,Children's
561,A Christmas Carol,Charles Dickens,http://www.gutenberg.org/ebooks/24022,Children's
562,The Legend of Sleepy Hollow,Washington Irving,http://www.gutenberg.org/ebooks/41,Children's
563,Through the Looking-Glass,Lewis Carroll,http://www.gutenberg.org/ebooks/12,Children's
564,The Secret Garden,Frances Hodgson Burnett,http://www.gutenberg.org/ebooks/17396,Children's
565,Black Beauty,Anna Sewell,http://www.gutenberg.org/ebooks/271,Children's
566,The Wind in the Willows,Kenneth Grahame,http://www.gutenberg.org/ebooks/289,Children's
567,A Little Princess,Frances Hodgson Burnett,http://www.gutenberg.org/ebooks/146,Children's
568,Alice's Adventures in Wonderland,Lewis Carroll,http://www.gutenberg.org/ebooks/19033,Children's
569,Anne of Avonlea,L. M. Montgomery,http://www.gutenberg.org/ebooks/47,Children's
570,Just So Stories,Rudyard Kipling,http://www.gutenberg.org/ebooks/2781,Children's
571,The Railway Children,E. Nesbit,http://www.gutenberg.org/ebooks/1874,Children's
572,Anne of the Island,L. M. Montgomery,http://www.gutenberg.org/ebooks/51,Children's
573,Kidnapped,Robert Louis Stevenson,http://www.gutenberg.org/ebooks/421,Children's
574,The Blue Fairy Book,Andrew Lang,http://www.gutenberg.org/ebooks/503,Children's
991,The Adventures of Sherlock Holmes,Arthur Conan Doyle,http://www.gutenberg.org/ebooks/1661,Detective
992,The Hound of the Baskervilles,Arthur Conan Doyle,http://www.gutenberg.org/ebooks/2852,Detective
993,A Study in Scarlet,Arthur Conan Doyle,http://www.gutenberg.org/ebooks/244,Detective
994,The Sign of the Four,Arthur Conan Doyle,http://www.gutenberg.org/ebooks/2097,Detective
995,The Mysterious Affair at Styles,Agatha Christie,http://www.gutenberg.org/ebooks/863,Detective
996,The Works of Edgar Allan Poe — Volume 2,Edgar Allan Poe,http://www.gutenberg.org/ebooks/2148,Detective
997,Poirot Investigates,Agatha Christie,http://www.gutenberg.org/ebooks/61262,Detective
998,The Murder on the Links,Agatha Christie,http://www.gutenberg.org/ebooks/58866,Detective
999,The Works of Edgar Allan Poe — Volume 1,Edgar Allan Poe,http://www.gutenberg.org/ebooks/2147,Detective
1000,The Secret Adversary,Agatha Christie,http://www.gutenberg.org/ebooks/1155,Detective
1001,The Memoirs of Sherlock Holmes,Arthur Conan Doyle,http://www.gutenberg.org/ebooks/834,Detective
1002,The Return of Sherlock Holmes,Arthur Conan Doyle,http://www.gutenberg.org/ebooks/108,Detective
1003,The Man in the Brown Suit,Agatha Christie,http://www.gutenberg.org/ebooks/61168,Detective
1004,The Moonstone,Wilkie Collins,http://www.gutenberg.org/ebooks/155,Detective
1005,The Valley of Fear,Arthur Conan Doyle,http://www.gutenberg.org/ebooks/3289,Detective
1006,The Innocence of Father Brown,G. K. Chesterton,http://www.gutenberg.org/ebooks/204,Detective
1007,His Last Bow: An Epilogue of Sherlock Holmes,Arthur Conan Doyle,http://www.gutenberg.org/ebooks/2350,Detective
1008,Whose Body? A Lord Peter Wimsey Novel,Dorothy L. Sayers,http://www.gutenberg.org/ebooks/58820,Detective
1009,The Red House Mystery,A. A. Milne,http://www.gutenberg.org/ebooks/1872,Detective
1010,The Wisdom of Father Brown,G. K. Chesterton,http://www.gutenberg.org/ebooks/223,Detective
1011,The Leavenworth Case,Anna Katharine Green,http://www.gutenberg.org/ebooks/4047,Detective
1012,The Mystery of the Yellow Room,Gaston Leroux,http://www.gutenberg.org/ebooks/1685,Detective
1013,Hunted Down: The Detective Stories of Charles Dickens,Charles Dickens,http://www.gutenberg.org/ebooks/807,Detective
1014,The Adventure of the Dying Detective,Arthur Conan Doyle,http://www.gutenberg.org/ebooks/2347,Detective
1015,The Adventures of Sherlock Holmes,Arthur Conan Doyle,http://www.gutenberg.org/ebooks/9551,Detective
1041,Dr. Montessori's Own Handbook,Maria Montessori,http://www.gutenberg.org/ebooks/29635,Education
1042,The Mind and Its Education,George Herbert Betts,http://www.gutenberg.org/ebooks/20220,Education
1043,What the Schools Teach and Might Teach,John Franklin Bobbitt,http://www.gutenberg.org/ebooks/13482,Education
1044,"Youth: Its Education, Regimen, and Hygiene",G. Stanley Hall,http://www.gutenberg.org/ebooks/9173,Education
1045,A Catechism of Familiar Things;,Anonymous,http://www.gutenberg.org/ebooks/16728,Education
1046,The Teaching of History,E. C. Hartwell,http://www.gutenberg.org/ebooks/14577,Education
1047,A Catalogue of Play Equipment,Jean Lee Hunt,http://www.gutenberg.org/ebooks/28466,Education
1048,The Infant System,Samuel Wilderspin,http://www.gutenberg.org/ebooks/10985,Education
1123,The Wonderful Wizard of Oz,L. Frank Baum,http://www.gutenberg.org/ebooks/55,Fantasy
1124,Le Morte d'Arthur: Volume 1,Sir Thomas Malory,http://www.gutenberg.org/ebooks/1251,Fantasy
1125,The Legends of King Arthur and His Knights,Knowles and Malory,http://www.gutenberg.org/ebooks/12753,Fantasy
1126,The Marvelous Land of Oz,L. Frank Baum,http://www.gutenberg.org/ebooks/54,Fantasy
1127,The Mabinogion,Lady Charlotte Schreiber,http://www.gutenberg.org/ebooks/5160,Fantasy
1128,The Merry Adventures of Robin Hood,Howard Pyle,http://www.gutenberg.org/ebooks/964,Fantasy
1129,Le Morte d'Arthur: Volume 2,Sir Thomas Malory,http://www.gutenberg.org/ebooks/1252,Fantasy
1130,Irish Fairy Tales,James Stephens,http://www.gutenberg.org/ebooks/2892,Fantasy
1131,The House on the Borderland,William Hope Hodgson,http://www.gutenberg.org/ebooks/10002,Fantasy
1132,Dorothy and the Wizard in Oz,L. Frank Baum,http://www.gutenberg.org/ebooks/22566,Fantasy
1133,The Story of the Volsungs (Volsunga Saga); with Excerpts from the Poetic Edda,,http://www.gutenberg.org/ebooks/1152,Fantasy
1134,The Merry Adventures of Robin Hood,Howard Pyle,http://www.gutenberg.org/ebooks/10148,Fantasy
1135,The Night Land,William Hope Hodgson,http://www.gutenberg.org/ebooks/10662,Fantasy
1136,"News from Nowhere; Or, An Epoch of Rest",William Morris,http://www.gutenberg.org/ebooks/3261,Fantasy
1137,Four Arthurian Romances,active 12th century de Troyes Chrétien,http://www.gutenberg.org/ebooks/831,Fantasy
1138,Robin Hood,J. Walker McSpadden,http://www.gutenberg.org/ebooks/832,Fantasy
1139,The Gods of Pegana,Lord Dunsany,http://www.gutenberg.org/ebooks/8395,Fantasy
1140,The Magic of Oz,L. Frank Baum,http://www.gutenberg.org/ebooks/419,Fantasy
1141,The Well at the World's End: A Tale,William Morris,http://www.gutenberg.org/ebooks/169,Fantasy
1142,The Book of Wonder,Lord Dunsany,http://www.gutenberg.org/ebooks/7477,Fantasy
1143,Ozma of Oz,L. Frank Baum,http://www.gutenberg.org/ebooks/486,Fantasy
1144,The Sword of Welleran and Other Stories,Lord Dunsany,http://www.gutenberg.org/ebooks/10806,Fantasy
1145,Dorothy and the Wizard in Oz,L. Frank Baum,http://www.gutenberg.org/ebooks/420,Fantasy
1146,The Sea Fairies,L. Frank Baum,http://www.gutenberg.org/ebooks/4358,Fantasy
1147,Fifty-One Tales,Lord Dunsany,http://www.gutenberg.org/ebooks/7838,Fantasy
1173,"The Count of Monte Cristo, Illustrated",Alexandre Dumas,http://www.gutenberg.org/ebooks/1184,Adventure
1174,The Call of the Wild,Jack London,http://www.gutenberg.org/ebooks/215,Adventure
1175,Around the World in Eighty Days,Jules Verne,http://www.gutenberg.org/ebooks/103,Adventure
1176,White Fang,Jack London,http://www.gutenberg.org/ebooks/910,Adventure
1177,The Three Musketeers,Alexandre Dumas,http://www.gutenberg.org/ebooks/1257,Adventure
1178,Kidnapped,Robert Louis Stevenson,http://www.gutenberg.org/ebooks/421,Adventure
1179,The Scarlet Pimpernel,Baroness Emmuska Orczy Orczy,http://www.gutenberg.org/ebooks/60,Adventure
1180,King Solomon's Mines,H. Rider Haggard,http://www.gutenberg.org/ebooks/2166,Adventure
1181,The Thirty-Nine Steps,John Buchan,http://www.gutenberg.org/ebooks/558,Adventure
1182,Tarzan of the Apes,Edgar Rice Burroughs,http://www.gutenberg.org/ebooks/78,Adventure
1183,The Prisoner of Zenda,Anthony Hope,http://www.gutenberg.org/ebooks/95,Adventure
1184,Kim,Rudyard Kipling,http://www.gutenberg.org/ebooks/2226,Adventure
1185,"Moby-Dick; or, The Whale",Herman Melville,http://www.gutenberg.org/ebooks/15,Adventure
1186,The Man in the Iron Mask,Alexandre Dumas,http://www.gutenberg.org/ebooks/2759,Adventure
1187,She,H. Rider Haggard,http://www.gutenberg.org/ebooks/3155,Adventure
1188,Captain Blood,Rafael Sabatini,http://www.gutenberg.org/ebooks/1965,Adventure
1189,Twenty Years After,Alexandre Dumas,http://www.gutenberg.org/ebooks/1259,Adventure
1190,The Vicomte De Bragelonne,Alexandre Dumas,http://www.gutenberg.org/ebooks/2609,Adventure
1191,Allan Quatermain,H. Rider Haggard,http://www.gutenberg.org/ebooks/711,Adventure
1192,Moonfleet,John Meade Falkner,http://www.gutenberg.org/ebooks/10743,Adventure
1193,Greenmantle,John Buchan,http://www.gutenberg.org/ebooks/559,Adventure
1194,Scaramouche: A Romance of the French Revolution,Rafael Sabatini,http://www.gutenberg.org/ebooks/1947,Adventure
1195,"""Captains Courageous"": A Story of the Grand Banks",Rudyard Kipling,http://www.gutenberg.org/ebooks/2225,Adventure
1196,Tarzan the Terrible,Edgar Rice Burroughs,http://www.gutenberg.org/ebooks/2020,Adventure
1197,The Beasts of Tarzan,Edgar Rice Burroughs,http://www.gutenberg.org/ebooks/85,Adventure
1198,"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,http://www.gutenberg.org/ebooks/84,Science
1199,Anthem,Ayn Rand,http://www.gutenberg.org/ebooks/1250,Science
1200,"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,http://www.gutenberg.org/ebooks/42324,Science
1201,The Last Man,Mary Wollstonecraft Shelley,http://www.gutenberg.org/ebooks/18247,Science
1202,"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,http://www.gutenberg.org/ebooks/41445,Science
1203,All Cats Are Gray,Andre Norton,http://www.gutenberg.org/ebooks/29019,Science
1204,Plague Ship,Andre Norton,http://www.gutenberg.org/ebooks/16921,Science
1205,Astounding Stories of Super-Science February 1930,Various,http://www.gutenberg.org/ebooks/28617,Science
1206,"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,http://www.gutenberg.org/ebooks/20038,Science
1207,The Time Traders,Andre Norton,http://www.gutenberg.org/ebooks/19145,Science
1208,The Door Through Space,Marion Zimmer Bradley,http://www.gutenberg.org/ebooks/19726,Science
1209,Storm Over Warlock,Andre Norton,http://www.gutenberg.org/ebooks/20788,Science
1210,The Colors of Space,Marion Zimmer Bradley,http://www.gutenberg.org/ebooks/20796,Science
1211,Star Hunter,Andre Norton,http://www.gutenberg.org/ebooks/19090,Science
1212,Star Born,Andre Norton,http://www.gutenberg.org/ebooks/18458,Science
1213,Black Amazon of Mars,Leigh Brackett,http://www.gutenberg.org/ebooks/32664,Science
1214,Key Out of Time,Andre Norton,http://www.gutenberg.org/ebooks/19651,Science
1215,The Defiant Agents,Andre Norton,http://www.gutenberg.org/ebooks/25550,Science
1216,Voodoo Planet,Andre Norton,http://www.gutenberg.org/ebooks/18846,Science
1217,"Astounding Stories of Super-Science, December 1930",Various,http://www.gutenberg.org/ebooks/30691,Science
1218,The Planet Savers,Marion Zimmer Bradley,http://www.gutenberg.org/ebooks/31619,Science
1219,Frankenstein,Mary Wollstonecraft Shelley,http://www.gutenberg.org/ebooks/6542,Science
1220,A World is Born,Leigh Brackett,http://www.gutenberg.org/ebooks/22544,Science
1221,The Gifts of Asti,Andre Norton,http://www.gutenberg.org/ebooks/19029,Science
1222,Year of the Big Thaw,Marion Zimmer Bradley,http://www.gutenberg.org/ebooks/28650,Science
1298,Anthem,Ayn Rand,http://www.gutenberg.org/ebooks/1250,Science
1299,The War of the Worlds,H. G. Wells,http://www.gutenberg.org/ebooks/36,Science
1300,The Time Machine,H. G. Wells,http://www.gutenberg.org/ebooks/35,Science
1301,2 B R 0 2 B,Kurt Vonnegut,http://www.gutenberg.org/ebooks/21279,Science
1302,Twenty Thousand Leagues under the Sea,Jules Verne,http://www.gutenberg.org/ebooks/164,Science
1303,The Island of Doctor Moreau,H. G. Wells,http://www.gutenberg.org/ebooks/159,Science
1304,A Princess of Mars,Edgar Rice Burroughs,http://www.gutenberg.org/ebooks/62,Science
1305,A Journey to the Centre of the Earth,Jules Verne,http://www.gutenberg.org/ebooks/18857,Science
1306,The Lost World,Arthur Conan Doyle,http://www.gutenberg.org/ebooks/139,Science
1307,Flatland: A Romance of Many Dimensions (Illustrated),Edwin Abbott Abbott,http://www.gutenberg.org/ebooks/201,Science
1308,"Looking Backward, 2000 to 1887",Edward Bellamy,http://www.gutenberg.org/ebooks/624,Science
1309,The Mysterious Island,Jules Verne,http://www.gutenberg.org/ebooks/1268,Science
1310,The Eyes Have It,Philip K. Dick,http://www.gutenberg.org/ebooks/31516,Science
1311,The Dunwich Horror,H. P. Lovecraft,http://www.gutenberg.org/ebooks/50133,Science
1312,The Hanging Stranger,Philip K. Dick,http://www.gutenberg.org/ebooks/41562,Science
1313,Twenty Thousand Leagues Under the Seas: An Underwater Tour of the World,Verne,http://www.gutenberg.org/ebooks/2488,Science
1314,Second Variety,Philip K. Dick,http://www.gutenberg.org/ebooks/32032,Science
1315,The Marching Morons,C. M. Kornbluth,http://www.gutenberg.org/ebooks/51233,Science
1316,"The Door in the Wall, and Other Stories",H. G. Wells,http://www.gutenberg.org/ebooks/456,Science
1317,Youth,Isaac Asimov,http://www.gutenberg.org/ebooks/31547,Science
1318,The House on the Borderland,William Hope Hodgson,http://www.gutenberg.org/ebooks/10002,Science
1319,The Shunned House,H. P. Lovecraft,http://www.gutenberg.org/ebooks/31469,Science
1320,"The Country of the Blind, and Other Stories",H. G. Wells,http://www.gutenberg.org/ebooks/11870,Science
1321,John Jones's Dollar,Harry Stephen Keeler,http://www.gutenberg.org/ebooks/26867,Science
1322,"From the Earth to the Moon; and, Round the Moon",Jules Verne,http://www.gutenberg.org/ebooks/83,Science
1518,Myths and Legends of China,E. T. C. Werner,http://www.gutenberg.org/ebooks/15250,Folklore
1519,Japanese Fairy Tales,Yei Theodora Ozaki,http://www.gutenberg.org/ebooks/4018,Folklore
1520,Philippine Folk Tales,Mabel Cook Cole,http://www.gutenberg.org/ebooks/12814,Folklore
1521,Irish Fairy Tales,James Stephens,http://www.gutenberg.org/ebooks/2892,Folklore
1522,A Book of Myths,Jean Lang,http://www.gutenberg.org/ebooks/22693,Folklore
1523,Russian Fairy Tales: A Choice Collection of Muscovite Folk-lore,Ralston,http://www.gutenberg.org/ebooks/22373,Folklore
1524,Stories from Hans Andersen,H. C. Andersen,http://www.gutenberg.org/ebooks/17860,Folklore
1525,Viking Tales,Jennie Hall,http://www.gutenberg.org/ebooks/24811,Folklore
1526,Indian Fairy Tales,Joseph Jacobs and John Dickson Batten,http://www.gutenberg.org/ebooks/7128,Folklore
1527,Filipino Popular Tales,Dean Spruill Fansler,http://www.gutenberg.org/ebooks/8299,Folklore
1528,Traditions of the Tinguian: a Study in Philippine Folk-Lore,Fay-Cooper Cole,http://www.gutenberg.org/ebooks/12545,Folklore
1529,Myths and Legends of Our Own Land — Complete,Charles M. Skinner,http://www.gutenberg.org/ebooks/6615,Folklore
1530,Stories the Iroquois Tell Their Children,Mabel Powers,http://www.gutenberg.org/ebooks/22096,Folklore
1531,Tales of Old Japan,Baron Algernon Bertram Freeman-Mitford Redesdale,http://www.gutenberg.org/ebooks/13015,Folklore
1532,"Uncle Remus, His Songs and His Sayings",Joel Chandler Harris,http://www.gutenberg.org/ebooks/2306,Folklore
1533,American Indian Stories,Zitkala-Sa,http://www.gutenberg.org/ebooks/10376,Folklore
1534,Indian Tales,Rudyard Kipling,http://www.gutenberg.org/ebooks/8649,Folklore
1535,Celtic Fairy Tales,Joseph Jacobs,http://www.gutenberg.org/ebooks/7885,Folklore
1536,Der Goldene Topf,E. T. A. Hoffmann,http://www.gutenberg.org/ebooks/17362,Folklore
1537,Myths and Legends of the Great Plains,Katharine Berry Judson,http://www.gutenberg.org/ebooks/22083,Folklore
1538,Japanische Märchen,Karl Alberti,http://www.gutenberg.org/ebooks/23393,Folklore
1539,More Russian Picture Tales,Valerian Viliamovich Karrik,http://www.gutenberg.org/ebooks/23462,Folklore
1540,A Chinese Wonder Book,Norman Hinsdale Pitman,http://www.gutenberg.org/ebooks/18674,Folklore
1541,Myths and Legends of California and the Old Southwest,Katharine Berry Judson,http://www.gutenberg.org/ebooks/2503,Folklore
1542,Myths and Legends of the Sioux,Marie L. McLaughlin,http://www.gutenberg.org/ebooks/341,Folklore
